S.N.,Region,LST_1985 (°C),LST_1986 (°C),LST_1987 (°C),LST_1988 (°C),LST_1989 (°C),LST_1990 (°C),LST_1991 (°C),LST_1992 (°C),LST_1993 (°C),LST_1994 (°C),LST_1995 (°C),LST_1996 (°C),LST_1997 (°C),LST_1998 (°C),LST_1999 (°C),LST_2000 (°C),LST_2001 (°C),LST_2002 (°C),LST_2003 (°C),LST_2004 (°C),LST_2005 (°C),LST_2006 (°C),LST_2007 (°C),LST_2008 (°C),LST_2009 (°C),LST_2010 (°C),LST_2011 (°C),LST_2012 (°C),LST_2013 (°C),LST_2014 (°C),LST_2015 (°C),LST_2016 (°C),LST_2017 (°C),LST_2018 (°C),LST_2019 (°C),LST_2020 (°C),LST_2021 (°C),LST_2022 (°C),LST_2023 (°C),LST_2024 (°C)
1,Broward County,30.26,28.65,27.66,28.84,31.05,28.25,27.12,24.77,28.75,26.94,29.48,28.09,27.09,27.99,28.35,29.01,30.17,29.88,29.41,29.32,29.94,30.31,31.68,29.67,29.7,30.39,31.7,29.04,30.66,29.99,31.45,29.2,30.58,29.78,31.8,28.94,29.12,30.41,29.53,29.92
2,Charlotte County,31.04,27.05,28.53,28.41,32.18,29.62,30.36,28.27,27.3,27.96,25.51,28.57,26.09,28.55,29.41,29.21,29.18,29.39,27.88,30.01,30.3,31.22,32.65,29.52,30.7,29.41,31.12,29.26,30.57,29.12,29.96,30.45,29.45,29.9,30.34,28.43,28.54,30.77,30.85,30.16
3,DeSoto County,29.89,26.26,28.22,28.69,30.77,29.33,29.71,28.08,27,26.03,24.52,28.18,24.47,27.74,29.68,29.12,29.49,28.6,28.5,29.63,30.64,31.63,33.03,29.94,30.84,29.57,31.94,29.48,30.36,29.76,30.04,31.05,30.63,30.15,30.36,28.67,27.48,30.95,31.08,30.28
4,Hendry County,29.76,27.72,28.28,28.49,31.72,29.38,28.94,27.41,28.33,27.35,27.41,28.39,26.22,28.42,28.9,29.74,30.45,30.49,28.46,30.49,30.42,31.52,32.53,30.23,30.99,29.84,32.37,30.06,30.56,29.73,31.3,30.02,30.8,29.08,30.8,29.6,29.34,31.32,30.96,30.74
5,Highlands County,28.36,26.82,28.82,28.86,31.27,28.11,29.07,27.62,27.49,25.56,25.44,27.84,24.44,27.77,29.63,29.22,29.43,28.57,28.46,30.45,30.44,31.37,32.84,29.48,30.31,29.67,31.86,28.52,30.49,29.81,30.38,31.45,30.45,29.77,30.79,27.97,27.86,31.26,30.52,30.16
6,Jackson County,30.61,26.56,26.75,24.16,26.07,28.68,23.74,25.71,26.68,22.57,23.78,23.55,23.37,26.67,23.41,26.74,24.76,25.01,24.05,24.92,28.2,27.33,29.86,26.39,27.25,26.22,27.07,27.84,25.87,24.24,26.37,26.53,27.69,27.78,30.48,28.79,25.15,25.88,27.02,27.01
7,Miami-Dade County,29.01,28.63,27.53,27.79,29.51,27.26,26.56,23.9,28.07,26.72,27.67,26.96,25.87,26.72,27.03,28.62,29.18,28.45,28.29,28.75,28.81,29.56,30.23,28.93,28.74,29.25,30.55,28.33,29.43,29.4,30.57,28.89,29.4,28.52,30.86,28.25,28.47,29.59,28.97,28.43
8,Orange County,26.64,24.96,26.74,25.81,29.63,27.78,29.55,25.27,27.32,26.52,24.54,26.26,23.63,26.34,27.49,27.7,28.3,28.86,26.83,29.09,30.04,30.24,32.14,28.88,27.5,28.97,31.94,27.76,29.89,28.62,30.67,30.88,29.74,27.94,30.59,27.21,27.65,30.11,28.79,28.99
9,Palm Beach County,29.36,28.19,27.39,27.97,29.99,27.34,27.37,23.5,27.9,26.82,29.25,27.53,26.35,26.56,27.71,28.62,29.64,29.32,28.38,28.65,29.27,29.48,30.59,28.73,29.23,29.79,30.16,28.69,29.28,29.04,30.55,28.78,29.83,28.46,30.29,28.46,28.66,30.04,29.01,29.09
10,St. Lucie County,28.48,29.13,26.74,27.58,29.33,28.75,27.65,20.98,28.3,27.44,27.71,27.49,27.82,28.31,27.52,27.97,29.9,29.36,28.69,28.97,29,30.75,31.54,28.99,29.7,30.47,30.8,29.13,28.5,29.04,30.31,29.82,30.48,28.75,30.32,28.97,27.55,29.98,28.36,29.68
